Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
4.615,1,0.102038294,3,231.93,5,2002,,1,1,2563.33
7.63,1,0.135258515,13,47.2402,3,2009,1.0,2,2,918.804
8.39,0,0.120396991,9,163.4868,1,1987,2.0,2,1,4586.0304
5.175,0,0.030527166,8,33.5874,2,2007,,1,1,635.1732
16.0,0,0.099053537,9,212.6902,1,1987,2.0,2,1,637.1706
9.5,1,0.048883854,15,185.7898,3,2009,1.0,2,2,2619.2572
10.895,0,0.035893143,6,131.3284,3,2009,1.0,2,2,1318.284
17.2,1,0.012012071,3,163.1184,6,1997,0.0,0,1,4623.3152
19.85,0,0.045855273,6,127.102,3,2009,1.0,2,2,1771.028
6.385,0,0.14032811,7,109.1596,0,1998,,2,0,107.8596
11.65,0,0.019402371,7,38.7164,7,1999,1.0,0,1,579.246
12.85,0,0.0,13,155.463,4,2004,0.0,1,1,4068.038
17.7,1,0.042716709,5,163.221,2,2007,,1,1,1794.331
9.1,1,0.081794766,1,173.6054,7,1999,1.0,0,1,700.4216
15.5,1,0.125942816,6,176.0028,5,2002,,1,1,1239.7196
16.35,0,0.0,9,127.902,2,2007,,1,1,2150.534
10.695,1,0.011472001,13,75.2038,3,2009,1.0,2,2,517.3266
16.6,0,0.103146658,6,117.2466,7,1999,1.0,0,1,2239.0854
13.15,1,0.166032929,6,170.8764,3,2009,1.0,2,2,2233.0932
11.5,1,0.04224015,5,194.982,2,2007,,1,1,3089.312
5.63,1,0.024536636,10,106.1306,4,2004,0.0,1,1,2090.612
19.2,1,0.085296625,3,153.4314,3,2009,1.0,2,2,1861.5768
6.695,0,0.0,5,219.4456,6,1997,0.0,0,1,3094.6384
15.75,0,0.054930533,0,194.4452,6,1997,0.0,0,1,5089.3752
12.5,0,0.031097948,6,103.899,7,1999,1.0,0,1,1960.781
21.25,0,0.016735879,10,185.2608,0,1998,,2,0,183.7608
18.85,0,0.168266556,9,195.5136,3,2009,1.0,2,2,1749.7224
20.1,0,0.034646067,9,120.6782,4,2004,0.0,1,1,1310.9602
11.395,0,0.021639678,8,150.1708,7,1999,1.0,0,1,2708.4744
9.3,0,0.11144608,1,64.6826,5,2002,,1,1,1097.9042
12.8,0,0.152377658,11,108.1938,0,1998,,2,0,428.7752
6.8,0,0.037465846,0,47.5034,1,1987,2.0,2,1,534.6374
15.0,1,0.0268952,0,220.3456,5,2002,,1,1,1989.4104
19.85,1,0.081916124,1,167.6816,2,2007,,1,1,1845.5976
7.85,0,0.163233667,7,144.6444,7,1999,1.0,0,1,2467.4548
20.2,1,0.121748174,13,96.9752,3,2009,1.0,2,2,1725.7536
11.85,0,0.132939639,4,98.0726,5,2002,,1,1,1761.7068
6.135,1,0.079327367,0,152.8366,6,1997,0.0,0,1,2871.5954
9.0,0,0.065194971,13,177.737,1,1987,2.0,2,1,2117.244
17.5,0,0.026248606,13,255.1356,3,2009,1.0,2,2,3815.034
12.15,0,0.131921819,5,246.346,2,2007,,1,1,739.038
11.0,1,0.0,5,155.263,7,1999,1.0,0,1,625.852
17.5,0,0.026865809,5,261.691,4,2004,0.0,1,1,4207.856
17.5,0,0.052740763,13,103.799,2,2007,,1,1,1135.189
10.6,0,0.056748659,4,233.6642,1,1987,2.0,2,1,3950.1914
7.145,0,0.017822936,5,161.3578,5,2002,,1,1,1123.2046
20.7,1,0.07929647,0,97.2042,6,1997,0.0,0,1,1686.4714
17.5,0,0.026195131,13,252.6356,5,2002,,1,1,2543.356
17.7,1,0.042542484,5,161.921,7,1999,1.0,0,1,2120.573
8.6,1,0.054474158,1,131.031,4,2004,0.0,1,1,1038.648
9.5,1,0.0,5,228.4668,7,1999,1.0,0,1,3916.2356
17.7,1,0.122372504,10,101.5674,3,2009,1.0,2,2,1629.8784
12.3,0,0.037148619,13,116.8834,2,2007,,1,1,2649.2182
6.26,0,0.052593952,9,111.0228,0,1998,,2,0,221.0456
17.7,0,0.012593467,9,167.6474,3,2009,1.0,2,2,3874.2902
18.25,0,0.012325122,6,162.8894,3,2009,1.0,2,2,647.1576
5.8,0,0.131489269,4,89.7172,3,2009,1.0,2,2,1605.9096
14.5,1,0.064224789,1,262.7594,2,2007,,1,1,7064.8038
18.25,0,0.060589424,15,162.5526,2,2007,,1,1,986.7156
12.85,0,0.022649893,6,179.3318,5,2002,,1,1,1263.0226
17.1,0,0.128390273,6,111.9886,4,2004,0.0,1,1,1445.4518
7.575,0,0.055476238,4,196.8768,7,1999,1.0,0,1,1182.4608
9.21,0,0.008757492,6,120.8414,1,1987,2.0,2,1,2071.3038
11.3,0,0.007273831,10,196.6426,1,1987,2.0,2,1,5141.3076
13.6,1,0.043743689,6,157.7946,5,2002,,1,1,1104.5622
20.85,1,0.062477955,0,87.2514,3,2009,1.0,2,2,1505.3738
9.195,1,0.078060601,10,106.3596,6,1997,0.0,0,1,2912.2092
15.75,0,0.140821917,7,252.9382,7,1999,1.0,0,1,2775.7202
16.5,1,0.068403271,3,101.999,3,2009,1.0,2,2,619.194
20.5,0,0.02312394,11,154.634,1,1987,2.0,2,1,2297.01
17.6,1,0.047449835,13,118.1782,3,2009,1.0,2,2,2621.9204
8.775,0,0.110359004,4,42.7428,3,2009,1.0,2,2,790.9704
10.1,0,0.054620504,8,197.5084,4,2004,0.0,1,1,2976.126
18.2,0,0.0,8,44.1086,5,2002,,1,1,1115.215
8.975,1,0.009051307,3,103.099,1,1987,2.0,2,1,309.597
9.6,0,0.03625493,6,141.0154,1,1987,2.0,2,1,2694.4926
8.185,0,0.064824502,6,116.0808,0,1998,,2,0,234.3616
14.75,0,0.033024328,8,236.6906,3,2009,1.0,2,2,3089.9778
20.5,0,0.143574191,9,37.219,5,2002,,1,1,476.047
14.65,1,0.099333217,13,51.3666,5,2002,,1,1,1076.5986
19.2,0,0.12475207,3,90.9488,2,2007,,1,1,633.8416
5.945,0,0.093170838,9,127.3652,7,1999,1.0,0,1,1549.9824
17.5,1,0.007538459,4,144.2102,4,2004,0.0,1,1,4082.6856
10.895,1,0.009676286,4,122.873,2,2007,,1,1,3448.844
20.5,0,0.141792841,15,89.7172,6,1997,0.0,0,1,1159.8236
13.65,1,0.031573246,3,99.47,3,2009,1.0,2,2,299.61
15.7,0,0.055943697,8,150.6024,1,1987,2.0,2,1,2428.8384
18.7,1,0.0,5,229.201,4,2004,0.0,1,1,3215.814
19.35,1,0.066831682,14,163.8868,0,1998,,2,0,327.5736
16.0,1,0.065165046,4,79.3986,7,1999,1.0,0,1,856.8846
6.965,0,0.0,9,159.4604,1,1987,2.0,2,1,3169.208
11.395,1,0.069728296,10,233.9616,5,2002,,1,1,1406.1696
7.5,0,0.09660879,9,56.9588,5,2002,,1,1,744.3644
6.115,1,0.007038478,14,189.253,1,1987,2.0,2,1,3605.307
14.8,1,0.043982464,1,110.657,5,2002,,1,1,2966.139
8.71,0,0.139202085,3,46.1376,4,2004,0.0,1,1,383.5008
15.5,1,0.086184647,5,50.9692,3,2009,1.0,2,2,394.1536
19.35,1,0.082250863,0,48.7034,4,2004,0.0,1,1,534.6374
19.2,0,0.100482186,5,111.8886,3,2009,1.0,2,2,1667.829
16.25,1,0.049051717,6,152.4682,7,1999,1.0,0,1,2439.4912
19.85,0,0.005230786,4,265.1884,1,1987,2.0,2,1,5034.7796
13.65,1,0.08062523,5,259.6936,4,2004,0.0,1,1,2087.9488
7.535,0,0.081787519,14,120.844,6,1997,0.0,0,1,2157.192
5.59,1,0.056602818,13,63.2168,6,1997,0.0,0,1,1725.7536
11.0,1,0.057047756,6,240.4512,4,2004,0.0,1,1,7028.1848
19.85,0,0.05410964,12,195.0768,7,1999,1.0,0,1,1970.768
17.6,0,0.058209079,10,153.6314,5,2002,,1,1,5274.4676
6.215,1,0.083056555,0,224.4062,0,1998,,2,0,225.7062
15.1,1,0.020015391,5,128.831,3,2009,1.0,2,2,1817.634
13.35,0,0.102426197,4,230.6352,1,1987,2.0,2,1,5725.88
9.5,1,0.048761223,15,186.5898,7,1999,1.0,0,1,5238.5144
11.8,1,0.0,5,179.2344,4,2004,0.0,1,1,2141.2128
17.6,0,0.056281276,5,40.3454,4,2004,0.0,1,1,796.9626
19.85,0,0.008762556,4,266.6884,0,1998,,2,0,264.9884
13.35,0,0.139669224,5,147.6392,7,1999,1.0,0,1,1938.8096
18.85,0,0.137972993,7,158.4578,2,2007,,1,1,1444.1202
17.5,0,0.0,13,102.999,6,1997,0.0,0,1,2992.771
20.2,1,0.121940099,13,95.3752,2,2007,,1,1,1150.5024
5.88,0,0.024926013,9,149.9392,7,1999,1.0,0,1,1491.392
15.85,0,0.13727,3,94.4094,2,2007,,1,1,1904.188
5.985,0,0.095989602,5,127.3678,5,2002,,1,1,508.6712
18.85,0,0.142443405,3,170.4132,2,2007,,1,1,4396.9432
18.85,0,0.137410256,7,161.7578,7,1999,1.0,0,1,1604.578
7.51,0,0.104400238,13,113.5544,2,2007,,1,1,894.8352
16.2,0,0.0,9,190.8162,4,2004,0.0,1,1,3271.0754
17.6,0,0.015750947,9,182.5976,3,2009,1.0,2,2,1629.8784
8.97,0,0.092937216,9,54.6956,1,1987,2.0,2,1,764.3384
7.22,1,0.03828933,0,64.751,1,1987,2.0,2,1,126.502
8.71,0,0.121936216,3,94.4778,2,2007,,1,1,2628.5784
17.7,1,0.135646297,15,186.0924,3,2009,1.0,2,2,3516.7556
15.85,0,0.069240685,1,217.5166,5,2002,,1,1,653.1498
6.055,0,0.03127929,6,160.3578,2,2007,,1,1,2406.867
19.25,1,0.034753686,3,141.5496,7,1999,1.0,0,1,1976.0944
16.5,0,0.028476451,13,91.0146,5,2002,,1,1,1368.219
13.5,1,0.067872402,4,57.8562,6,1997,0.0,0,1,355.5372
7.865,0,0.061183503,2,164.5526,5,2002,,1,1,1644.526
10.6,0,0.035247642,8,84.7224,7,1999,1.0,0,1,1619.2256
16.2,1,0.128397995,5,178.337,4,2004,0.0,1,1,1411.496
14.5,1,0.058918844,6,169.7448,7,1999,1.0,0,1,3238.4512
7.235,0,0.076791671,9,116.4492,1,1987,2.0,2,1,2316.984
16.75,0,0.021220113,7,55.1298,4,2004,0.0,1,1,1240.3854
14.0,1,0.031261583,3,52.564,4,2004,0.0,1,1,639.168
19.85,0,0.005235143,4,265.8884,6,1997,0.0,0,1,2649.884
10.895,0,0.027032204,5,106.328,2,2007,,1,1,852.224
5.635,0,0.172856719,0,148.205,0,1998,,2,0,449.415
10.65,1,0.085617517,13,229.3668,2,2007,,1,1,2303.668
15.1,0,0.127334766,0,88.283,0,1998,,2,0,89.883
16.5,0,0.036641597,9,178.7318,6,1997,0.0,0,1,1263.0226
13.35,1,0.014656564,3,208.5638,5,2002,,1,1,2277.7018
12.15,0,0.037864854,10,63.0826,1,1987,2.0,2,1,322.913
13.65,0,0.036016619,13,186.3924,7,1999,1.0,0,1,1295.6468
20.75,1,0.12953868,12,240.288,7,1999,1.0,0,1,2396.88
19.1,0,0.038531668,6,210.6586,1,1987,2.0,2,1,5487.5236
17.25,0,0.0,4,171.5764,5,2002,,1,1,4637.9628
10.195,0,0.041907414,13,43.8428,1,1987,2.0,2,1,175.7712
16.6,0,0.027556247,9,176.6344,1,1987,2.0,2,1,1962.7784
17.6,1,0.076058484,10,111.8202,1,1987,2.0,2,1,2025.3636
8.185,0,0.038729057,6,117.1808,6,1997,0.0,0,1,1874.8928
13.65,1,0.080804019,5,261.1936,5,2002,,1,1,2348.9424
10.6,0,0.056884225,4,231.9642,7,1999,1.0,0,1,3020.7346
10.8,0,0.050000257,6,243.9144,2,2007,,1,1,4655.2736
15.2,0,0.021207519,3,219.4824,6,1997,0.0,0,1,1747.0592
8.895,0,0.0,7,232.9616,5,2002,,1,1,2812.3392
11.8,0,0.113307794,14,187.0924,4,2004,0.0,1,1,1850.924
7.63,1,0.225476528,13,45.1402,0,1998,,2,0,45.9402
6.55,1,0.034800079,1,157.5288,2,2007,,1,1,1571.288
16.85,0,0.139301634,13,144.976,1,1987,2.0,2,1,2783.044
7.235,0,0.077290355,9,116.9492,2,2007,,1,1,2316.984
19.25,0,0.1017546,4,55.1956,4,2004,0.0,1,1,491.3604
13.85,1,0.094265737,2,233.93,0,1998,,2,0,233.03
18.1,0,0.022380952,6,93.6094,1,1987,2.0,2,1,476.047
18.6,0,0.01575657,13,153.1366,1,1987,2.0,2,1,3173.8686
6.615,0,0.156307983,4,196.3426,0,1998,,2,0,790.9704
15.6,0,0.195688803,5,77.367,0,1998,,2,0,153.134
18.85,0,0.13747519,7,158.6578,5,2002,,1,1,3369.6138
7.235,0,0.0,13,197.2452,4,2004,0.0,1,1,2348.9424
7.825,0,0.07962861,10,63.4826,6,1997,0.0,0,1,2002.0606
19.7,1,0.016202582,3,188.2556,4,2004,0.0,1,1,3379.6008
12.6,0,0.024190156,4,34.4874,4,2004,0.0,1,1,494.0236
10.65,1,0.085308611,13,230.2668,5,2002,,1,1,5759.17
16.75,1,0.008564925,10,73.2038,4,2004,0.0,1,1,1404.1722
13.8,0,0.097457483,4,55.393,3,2009,1.0,2,2,1018.674
9.6,0,0.029619203,9,43.6086,1,1987,2.0,2,1,624.5204
13.1,0,0.0,11,189.253,6,1997,0.0,0,1,1518.024
14.6,0,0.150872868,14,47.5692,5,2002,,1,1,1379.5376
6.67,1,0.09031453,13,130.5626,3,2009,1.0,2,2,1180.4634
15.7,1,0.018930352,6,59.4536,6,1997,0.0,0,1,857.5504
17.75,0,0.111209003,11,107.7912,1,1987,2.0,2,1,982.7208
20.2,1,0.121153331,13,97.3752,1,1987,2.0,2,1,958.752
10.85,0,0.163160327,13,107.4622,2,2007,,1,1,1693.7952
20.25,0,0.148163564,9,232.7616,7,1999,1.0,0,1,1874.8928
5.86,1,0.150853308,10,156.0314,6,1997,0.0,0,1,2016.7082
6.115,1,0.011437302,5,92.4488,2,2007,,1,1,1358.232
19.7,1,0.018024769,10,104.499,6,1997,0.0,0,1,1031.99
9.8,0,0.090448534,11,194.5478,4,2004,0.0,1,1,774.9912
12.5,1,0.08175276,6,89.0488,6,1997,0.0,0,1,1267.6832
19.35,1,0.109667698,10,166.0816,0,1998,,2,0,671.1264
16.75,0,0.075735621,8,34.5532,6,1997,0.0,0,1,323.5788
19.1,0,0.091917786,11,182.7608,6,1997,0.0,0,1,1837.608
21.35,0,0.130127365,6,96.2094,0,1998,,2,0,190.4188
19.5,0,0.082483516,3,179.2002,1,1987,2.0,2,1,2865.6032
6.575,1,0.075507758,1,146.4444,6,1997,0.0,0,1,1596.5884
6.67,1,0.124126756,13,88.9514,2,2007,,1,1,2125.2336
12.3,0,0.009425158,0,74.838,7,1999,1.0,0,1,1537.998
16.1,1,0.024999711,6,97.841,5,2002,,1,1,1255.033
17.35,0,0.020676141,11,80.6618,2,2007,,1,1,1208.427
15.35,0,0.02346559,5,35.219,0,1998,,2,0,36.619
8.975,1,0.05272914,3,86.4224,6,1997,0.0,0,1,1022.6688
13.15,0,0.024630755,9,178.2686,1,1987,2.0,2,1,2666.529
19.5,0,0.014274292,9,55.6614,6,1997,0.0,0,1,718.3982
15.1,0,0.059313603,9,238.1248,4,2004,0.0,1,1,4266.4464
5.465,1,0.048518008,0,132.9626,4,2004,0.0,1,1,2360.9268
17.75,0,0.073349552,12,34.2216,1,1987,2.0,2,1,934.7832
6.96,0,0.077129323,14,92.7146,1,1987,2.0,2,1,1733.0774
17.85,0,0.087824967,1,196.0794,3,2009,1.0,2,2,1755.7146
5.095,1,0.130031207,13,142.4838,3,2009,1.0,2,2,561.9352
5.73,0,0.045334098,14,87.0882,1,1987,2.0,2,1,1803.6522
7.5,0,0.096333029,9,57.8588,1,1987,2.0,2,1,1145.176
7.855,1,0.073858923,4,218.6482,1,1987,2.0,2,1,3723.8194
5.655,0,0.175047104,14,146.9102,4,2004,0.0,1,1,1895.5326
12.15,0,0.132952286,8,37.6506,0,1998,,2,0,37.9506
9.6,0,0.086145867,13,258.362,0,1998,,2,0,259.662
18.85,0,0.0520115,8,190.3846,1,1987,2.0,2,1,3630.6074
20.2,1,0.059790095,6,127.4678,4,2004,0.0,1,1,3560.6984
12.15,1,0.071440118,10,182.295,0,1998,,2,0,549.285
19.6,0,0.03395415,14,56.4614,7,1999,1.0,0,1,773.6596
16.0,1,0.099271209,5,88.5856,6,1997,0.0,0,1,878.856
6.425,0,0.06316338,2,132.2626,4,2004,0.0,1,1,2098.6016
6.825,0,0.059846975,8,262.5226,6,1997,0.0,0,1,9779.9362
7.97,0,0.057667173,14,172.1422,0,1998,,2,0,517.3266
17.25,0,0.037155206,14,166.4526,1,1987,2.0,2,1,3782.4098
9.1,0,0.080417724,9,48.8718,7,1999,1.0,0,1,425.4462
19.2,0,0.041227831,9,129.831,6,1997,0.0,0,1,1947.465
14.5,1,0.06904249,3,41.4454,0,1998,,2,0,41.9454
17.75,1,0.067607749,0,188.024,7,1999,1.0,0,1,2796.36
7.145,0,0.017887474,5,160.6578,2,2007,,1,1,1765.0358
8.985,0,0.184440421,6,99.67,2,2007,,1,1,3295.71
16.35,0,0.091074449,9,196.811,2,2007,,1,1,3338.987
5.655,0,0.0,14,147.5102,6,1997,0.0,0,1,1166.4816
9.5,0,0.041951439,14,32.49,7,1999,1.0,0,1,865.54
5.78,1,0.074087369,13,264.9568,1,1987,2.0,2,1,6855.0768
8.05,1,0.0,6,257.5646,1,1987,2.0,2,1,5153.292
6.75,1,0.108679906,4,95.6752,3,2009,1.0,2,2,1246.3776
16.6,0,0.136500981,7,173.3422,2,2007,,1,1,4138.6128
6.095,0,0.081361288,11,141.9154,5,2002,,1,1,2694.4926
15.1,0,0.0,13,197.211,0,1998,,2,0,196.411
19.35,1,0.018591464,13,112.9544,7,1999,1.0,0,1,1342.2528
11.3,0,0.066952965,9,192.0478,3,2009,1.0,2,2,3099.9648
10.8,0,0.029107004,13,240.5222,2,2007,,1,1,4541.4218
19.7,1,0.0,0,194.411,7,1999,1.0,0,1,5106.686
10.5,1,0.117149075,0,164.121,3,2009,1.0,2,2,1794.331
7.655,0,0.031994534,3,114.3492,7,1999,1.0,0,1,1853.5872
8.235,0,0.08276363,0,146.5076,3,2009,1.0,2,2,1625.8836
20.6,0,0.083004078,0,119.4756,6,1997,0.0,0,1,1090.5804
19.35,1,0.021490911,6,122.1098,7,1999,1.0,0,1,2892.2352
9.5,1,0.058835928,6,170.2448,0,1998,,2,0,170.4448
5.305,1,0.07871639,10,183.5608,0,1998,,2,0,551.2824
9.8,0,0.013869809,14,47.406,5,2002,,1,1,978.726
9.6,1,0.022274264,1,101.699,4,2004,0.0,1,1,2992.771
13.0,0,0.153618566,3,79.6986,6,1997,0.0,0,1,1480.0734
17.6,0,0.049267759,13,113.0176,3,2009,1.0,2,2,2862.94
14.3,0,0.12826315,5,83.4224,2,2007,,1,1,681.7792
10.3,1,0.02494708,0,172.3422,5,2002,,1,1,5690.5926
15.1,1,0.157154813,6,62.2194,0,1998,,2,0,185.7582
6.03,0,0.022832115,4,176.7028,2,2007,,1,1,1416.8224
7.68,0,0.070900282,6,192.6162,6,1997,0.0,0,1,5580.0698
20.0,1,0.028180789,6,46.8744,5,2002,,1,1,905.488
15.85,0,0.136497913,3,96.3094,6,1997,0.0,0,1,2856.282
15.2,0,0.162462044,8,117.6492,0,1998,,2,0,347.5476
12.15,0,0.0,1,164.7184,6,1997,0.0,0,1,3962.8416
19.35,0,0.118080437,13,222.6088,4,2004,0.0,1,1,6040.1376
8.85,1,0.113302223,14,125.1388,2,2007,,1,1,1114.5492
19.85,0,0.025968706,9,49.5376,6,1997,0.0,0,1,1006.6896
19.1,0,0.045400017,4,38.8138,5,2002,,1,1,690.4346
17.0,0,0.126958147,9,125.8362,2,2007,,1,1,2516.724
11.15,1,0.105307659,0,102.0648,6,1997,0.0,0,1,1038.648
12.35,1,0.038500421,6,110.757,6,1997,0.0,0,1,1208.427
20.85,0,0.02137305,6,103.3306,5,2002,,1,1,522.653
7.035,0,0.0,5,263.291,0,1998,,2,0,525.982
4.785,0,0.09297084,1,122.0098,3,2009,1.0,2,2,2048.6666
17.25,1,0.209600084,2,40.348,0,1998,,2,0,39.948
9.3,1,0.033505804,10,153.4314,5,2002,,1,1,2482.1024
17.25,0,0.072986772,3,78.8986,5,2002,,1,1,1635.8706
17.85,0,0.024961677,14,153.1998,2,2007,,1,1,3383.5956
9.8,0,0.026081567,13,217.585,4,2004,0.0,1,1,4327.7
18.85,0,0.09079168,7,127.1336,1,1987,2.0,2,1,3579.3408
9.695,0,0.113917889,8,158.2604,4,2004,0.0,1,1,2693.8268
10.0,0,0.045928229,5,138.118,7,1999,1.0,0,1,1957.452
16.6,0,0.135620265,7,172.9422,1,1987,2.0,2,1,2931.5174
18.25,0,0.077709902,13,259.6962,4,2004,0.0,1,1,5438.9202
5.82,0,0.134975628,9,170.579,0,1998,,2,0,509.337
9.31,0,0.037955094,5,62.151,6,1997,0.0,0,1,1201.769
18.25,0,0.076125668,13,214.0218,5,2002,,1,1,2564.6616
19.7,0,0.067039526,13,178.337,7,1999,1.0,0,1,1411.496
6.865,0,0.014021626,14,127.1652,5,2002,,1,1,1291.652
11.35,1,0.023358738,4,184.4608,7,1999,1.0,0,1,4042.7376
17.7,0,0.029933275,13,169.0816,4,2004,0.0,1,1,5201.2296
20.85,0,0.032448523,0,177.866,6,1997,0.0,0,1,1078.596
17.25,1,0.047266211,13,97.0068,6,1997,0.0,0,1,1846.9292
15.35,0,0.01404119,5,38.419,7,1999,1.0,0,1,476.047
13.65,0,0.04917754,6,151.805,1,1987,2.0,2,1,2696.49
15.2,0,0.020280476,8,49.1034,0,1998,,2,0,194.4136
6.38,0,0.031962866,4,178.0344,5,2002,,1,1,535.3032
6.905,1,0.063850971,4,97.2726,0,1998,,2,0,195.7452
15.7,0,0.03067808,7,44.777,1,1987,2.0,2,1,605.878
15.2,1,0.103758647,6,177.0054,4,2004,0.0,1,1,2976.7918
8.355,0,0.013926425,0,93.0462,4,2004,0.0,1,1,1110.5544
12.15,0,0.006754117,11,122.173,1,1987,2.0,2,1,2586.633
13.35,0,0.0,13,238.7564,3,2009,1.0,2,2,1906.8512
17.0,0,0.052209303,8,122.373,6,1997,0.0,0,1,2586.633
17.35,1,0.041538713,5,93.1804,7,1999,1.0,0,1,1378.206
9.1,0,0.055382616,9,115.0518,1,1987,2.0,2,1,683.1108
6.13,0,0.0,6,54.1298,6,1997,0.0,0,1,1348.245
19.2,1,0.005583951,15,226.9062,1,1987,2.0,2,1,4514.124
8.895,0,0.075757177,7,233.8616,3,2009,1.0,2,2,937.4464
19.75,0,0.012467648,6,188.1872,7,1999,1.0,0,1,2458.1336
10.895,0,0.137368051,4,264.3568,3,2009,1.0,2,2,4745.8224
10.3,0,0.117593973,8,154.463,2,2007,,1,1,2503.408
19.1,1,0.026018497,6,148.2418,2,2007,,1,1,3089.9778
4.555,1,0.034410585,5,111.3544,7,1999,1.0,0,1,1342.2528
16.2,0,0.176175402,8,184.0608,2,2007,,1,1,2021.3688
8.975,1,0.088257771,3,84.1224,0,1998,,2,0,170.4448
21.1,1,0.020750867,2,128.7994,7,1999,1.0,0,1,1927.491
17.75,0,0.111527348,11,110.2912,5,2002,,1,1,873.5296
12.8,1,0.114318263,1,142.2838,3,2009,1.0,2,2,421.4514
6.905,1,0.038363204,4,98.1726,2,2007,,1,1,587.2356
10.195,1,0.245483691,5,141.8838,0,1998,,2,0,280.9676
5.785,1,0.053930934,6,87.3856,7,1999,1.0,0,1,878.856
7.96,0,0.028339599,3,162.4894,1,1987,2.0,2,1,1779.6834
8.3,1,0.030151351,0,98.7384,6,1997,0.0,0,1,492.692
5.46,1,0.107274301,6,145.5786,5,2002,,1,1,3900.9222
13.35,0,0.102670882,4,228.6352,7,1999,1.0,0,1,3435.528
5.46,1,0.032177405,3,185.424,6,1997,0.0,0,1,5219.872
20.75,1,0.083536989,5,180.3318,1,1987,2.0,2,1,4149.9314
6.59,0,0.026225693,9,119.0098,7,1999,1.0,0,1,2530.7058
7.55,0,0.0273235,3,151.934,2,2007,,1,1,1837.608
20.85,0,0.03747983,5,192.7478,5,2002,,1,1,2131.2258
18.85,0,0.168531813,9,192.5136,2,2007,,1,1,2916.204
15.2,0,0.021293909,3,218.4824,3,2009,1.0,2,2,1528.6768
10.1,0,0.030269774,8,152.4656,5,2002,,1,1,2934.8464
10.0,0,0.025822315,3,262.7226,4,2004,0.0,1,1,3171.8712
8.985,0,0.183688161,6,100.27,7,1999,1.0,0,1,998.7
11.5,1,0.125579201,5,99.7358,4,2004,0.0,1,1,1105.8938
19.85,0,0.026074491,9,48.6376,3,2009,1.0,2,2,575.2512
21.1,0,0.010593469,9,234.2958,1,1987,2.0,2,1,3739.1328
4.555,1,0.034357169,5,112.6544,6,1997,0.0,0,1,2684.5056
20.85,0,0.037396901,5,193.8478,4,2004,0.0,1,1,2712.4692
7.905,0,0.064011067,7,230.2694,1,1987,2.0,2,1,4567.388
6.78,1,0.085981978,6,228.4694,5,2002,,1,1,5480.8656
15.0,1,0.161762835,3,185.9266,5,2002,,1,1,2581.9724
17.6,0,0.104878967,13,164.8868,6,1997,0.0,0,1,2456.802
13.8,1,0.107469819,6,77.8012,0,1998,,2,0,227.7036
5.11,0,0.034868095,9,163.821,4,2004,0.0,1,1,2120.573
8.71,1,0.046079575,4,43.5744,5,2002,,1,1,407.4696
7.235,0,0.058083831,13,113.6834,1,1987,2.0,2,1,230.3668
12.3,1,0.064618976,15,89.8804,6,1997,0.0,0,1,1286.3256
6.96,0,0.077178965,14,93.1146,4,2004,0.0,1,1,2189.1504
18.0,1,0.142910689,6,89.6514,7,1999,1.0,0,1,1859.5794
6.28,0,0.027682047,14,85.5198,1,1987,2.0,2,1,1744.396
10.5,1,0.142511272,1,158.7578,4,2004,0.0,1,1,2246.4092
14.15,0,0.09557165,14,171.0106,5,2002,,1,1,4106.6544
9.8,0,0.02316823,14,47.506,0,1998,,2,0,186.424
15.85,1,0.061045133,10,44.7744,1,1987,2.0,2,1,181.0976
10.3,1,0.011148865,13,84.854,5,2002,,1,1,778.986
17.6,0,0.058091269,10,156.2314,6,1997,0.0,0,1,2947.4966
10.3,0,0.078678276,0,177.037,1,1987,2.0,2,1,3705.177
9.195,1,0.117667492,13,159.5578,7,1999,1.0,0,1,1283.6624
12.8,0,0.069902438,15,261.3252,3,2009,1.0,2,2,3410.2276
10.0,1,0.037757166,13,126.7994,4,2004,0.0,1,1,1284.994
17.25,0,0.107021498,5,40.5822,4,2004,0.0,1,1,785.644
20.2,0,0.100477461,9,187.7898,2,2007,,1,1,2245.0776
7.5,0,0.036228067,8,175.2028,4,2004,0.0,1,1,4427.57
7.895,1,0.094488485,2,100.7332,1,1987,2.0,2,1,1230.3984
15.75,0,0.055154296,0,195.5452,3,2009,1.0,2,2,1174.4712
13.65,1,0.073060301,5,196.2426,5,2002,,1,1,2570.6538
20.1,0,0.077439606,8,60.6536,4,2004,0.0,1,1,980.0576
13.65,1,0.080968973,5,259.7936,3,2009,1.0,2,2,2609.936
12.3,1,0.106492562,6,176.3396,7,1999,1.0,0,1,1395.5168
21.35,0,0.068822477,3,258.3278,6,1997,0.0,0,1,7028.8506
7.72,1,0.074669288,1,76.3986,1,1987,2.0,2,1,1402.1748
12.1,0,0.025834128,9,165.1526,0,1998,,2,0,164.4526
14.85,1,0.035227697,6,159.5578,1,1987,2.0,2,1,2085.9514
16.0,0,0.072965144,9,231.3668,3,2009,1.0,2,2,4607.336
8.395,0,0.039492207,13,97.3042,6,1997,0.0,0,1,1091.2462
7.365,0,0.042552205,6,225.172,4,2004,0.0,1,1,3395.58
